year,quarter,t_count,t_count_1,t_count_3,t_count_6,t_count_8,t_count_18,t_count_25,t_count_27,t_count_36,t_count_40,t_volume,t_volume_1,t_volume_3,t_volume_6,t_volume_8,t_volume_18,t_volume_25,t_volume_27,t_volume_36,t_volume_40,t_rate,t_rate_1,t_rate_3,t_rate_6,t_rate_8,t_rate_18,t_rate_25,t_rate_27,t_rate_36,t_rate_40,tp_1,tp_2,tp_3,tp_4,tp_5,tp_6,tp_7,tp_8,tp_9,tp_10,tp_11,tp_12,tp_13,tp_14,tp_15,tp_16,tp_17,tp_18,tp_19,tp_20,tp_21,tp_22,tp_23,tp_24,tp_25,tp_26,tp_27,tp_28,tp_29,tp_30,tp_31,tp_32,tp_33,tp_34,tp_35,tp_36,tp_37,tp_38,tp_39,tp_40
1990,1,473,6,22,104,84,28,19,9,52,109,6.80e+10,6.30e+08,4.48e+09,1.66e+10,1.01e+10,5.49e+09,4.06e+09,3.35e+08,1.09e+10,6.44e+09,200,,,,,,,,,,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1
1990,2,493,19,21,101,145,6,24,14,48,97,8.13e+10,2.34e+09,9.21e+09,1.59e+10,2.32e+10,3.37e+09,6.61e+09,7.64e+08,1.01e+10,7.68e+09,300,,200,200,,,,,,500,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1
1990,3,509,25,20,135,129,10,15,12,41,95,7.66e+10,2.22e+09,9.96e+09,1.83e+10,1.41e+10,8.91e+08,2.41e+09,4.09e+08,9.50e+09,1.12e+10,262.5,,,,,,,,325,200,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1
1990,4,548,20,14,193,137,9,18,13,32,84,9.15e+10,8.68e+08,5.83e+09,3.44e+10,1.42e+10,8.65e+08,1.51e+10,3.15e+08,1.20e+10,5.70e+09,100,,,100,,,,,,,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1
1991,1,485,13,11,217,111,7,17,12,13,54,5.93e+10,2.89e+08,3.26e+09,2.38e+10,1.23e+10,1.99e+09,3.61e+09,1.63e+09,4.01e+09,4.93e+09,,,,,,,,,,,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1
1991,2,554,22,21,241,95,4,20,9,35,77,7.82e+10,1.38e+09,2.34e+10,2.54e+10,1.56e+10,9.99e+07,2.71e+09,3.70e+08,3.74e+09,3.03e+09,100,,,100,,,,,,,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1
1991,3,493,9,15,221,82,4,13,12,23,87,6.81e+10,1.02e+09,6.93e+09,3.70e+10,8.70e+09,1.32e+08,3.53e+09,7.76e+08,2.73e+09,5.29e+09,325,,,,325,,,,,,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1
1991,4,538,11,15,266,92,4,14,16,26,64,9.21e+10,6.63e+08,1.30e+10,3.39e+10,1.83e+10,4.33e+08,3.41e+09,4.04e+08,8.73e+09,9.36e+09,200,,,200,,,,,,,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1
1992,1,616,5,15,326,91,8,20,3,27,66,7.80e+10,4.07e+08,6.79e+09,3.81e+10,1.00e+10,3.78e+08,4.18e+09,3.48e+07,2.46e+09,3.58e+09,216.6667,,,266.6667,200,,200,,,100,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1
1992,2,742,17,34,378,140,6,18,4,22,93,1.16e+11,1.57e+09,1.92e+10,5.32e+10,1.64e+10,6.60e+08,4.63e+09,1.65e+08,3.58e+09,4.98e+09,300.4445,200,,233.3333,264.2857,,,,150,396.2,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1
1992,3,678,21,32,344,101,4,13,10,24,97,1.19e+11,2.76e+09,9.45e+09,7.14e+10,1.41e+10,1.12e+09,2.62e+09,7.23e+08,4.33e+09,5.52e+09,267.0833,233.3333,200,229.3103,338.6364,200,200,600,350,294.4445,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1
1992,4,873,39,32,438,130,4,17,5,31,123,1.18e+11,3.81e+09,1.51e+10,5.79e+10,1.65e+10,3.83e+08,2.94e+09,8.99e+07,6.17e+09,7.07e+09,343.0664,485.7143,200,408.2317,260.2941,,,200,450,332.0313,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1
